Player,Season,PP_TOI,PP_G,PP_A1,PP_A2,PP_A,PP_P,PP_P1,PP_G60,PP_A160,PP_A260,PP_A60,PP_P60,PP_P160,PP_iCF,PP_iCF60,PP_iCSh%,PP_iFF,PP_iFF60,PP_iFSh%,PP_iSF,PP_iSF60,PP_iSh%,PP_ixG,PP_ixG60,PP_ixFSh%,PP_iSCF,PP_iSCF60,PP_iHF,PP_iHA,PP_iGVA,PP_iTKA,PP_iBLK,PP_iFOW,PP_iFOL,PP_iFO%,PP_iPENT,PP_iPEND,PP_iPENDIFF,PP_iRB,PP_iRS,PP_Avg.DIST
ALEKSANDER.BARKOV,20132014,142.49,3,2,1,3,6,5,1.26,0.84,0.42,1.26,2.53,2.11,21,8.84,14.29,14,5.9,21.43,11,4.63,27.27,1.32,0.56,9.43,5,2.11,1,8,4,2,1,65,60,52,0,0,0,1,1,23.36
ALEKSANDER.BARKOV,20142015,156.72,2,1,3,4,6,3,0.77,0.38,1.15,1.53,2.3,1.15,26,9.95,7.69,22,8.42,9.09,17,6.51,11.76,2.17,0.83,9.85,11,4.21,4,17,3,3,0,49,59,45.37,3,0,-3,0,0,20.85
ALEKSANDER.BARKOV,20152016,188.05,7,4,2,6,13,11,2.23,1.28,0.64,1.91,4.15,3.51,48,15.32,14.58,41,13.08,17.07,30,9.57,23.33,5.23,1.67,12.76,23,7.34,1,14,4,3,0,57,63,47.5,0,1,1,5,3,21.32
ALES.HEMSKY,20112012,149.45,1,1,5,6,7,2,0.4,0.4,2.01,2.41,2.81,0.8,28,11.24,3.57,20,8.03,5,13,5.22,7.69,1.27,0.51,6.37,3,1.2,1,10,4,0,1,1,0,100,2,1,-1,0,0,36.65
ALES.HEMSKY,20122013,158.4991667,8.541666667,1.708333333,5.125,6.833333333,15.375,10.25,3.23,0.65,1.94,2.59,5.82,3.88,34.16666667,12.93,25,29.04166667,10.99,29.41,22.20833333,8.41,38.46,3.724166667,1.41,12.82,15.375,5.82,1.708333333,10.25,3.416666667,0,0,3.416666667,3.416666667,50,1.708333333,0,-1.708333333,3.416666667,0,25.04
ALES.HEMSKY,20132014,177.56,2,4,7,11,13,6,0.68,1.35,2.37,3.72,4.39,2.03,23,7.77,8.7,16,5.41,12.5,11,3.72,18.18,1.46,0.49,9.13,6,2.03,0,9,10,2,0,0,0,0,3,0,-3,1,0,24.58
ALES.HEMSKY,20142015,155.34,1,4,3,7,8,5,0.39,1.54,1.16,2.7,3.09,1.93,30,11.59,3.33,18,6.95,5.56,12,4.63,8.33,1.53,0.59,8.48,4,1.54,2,12,6,5,1,0,0,0,3,0,-3,0,0,33.75
ALES.HEMSKY,20152016,130.3,1,0,3,3,4,1,0.46,0,1.38,1.38,1.84,0.46,32,14.74,3.12,24,11.05,4.17,19,8.75,5.26,1.96,0.9,8.18,4,1.84,0,5,10,0,0,1,2,33.33,0,0,0,0,0,28.08
ALEX.BURMISTROV,20112012,101.42,1,0,2,2,3,1,0.59,0,1.18,1.18,1.77,0.59,17,10.06,5.88,14,8.28,7.14,8,4.73,12.5,1.3,0.77,9.25,5,2.96,6,4,2,0,0,24,12,66.67,0,1,1,0,0,31.76
ALEX.BURMISTROV,20122013,87.6375,0,0,0,0,0,0,0,0,0,0,0,0,10.25,7.02,0,8.541666667,5.85,0,5.125,3.51,0,1.48625,1.02,17.41,5.125,3.51,8.541666667,3.416666667,1.708333333,0,0,11.95833333,10.25,53.85,0,1.708333333,1.708333333,1.708333333,0,22.99
