Player,Season,G,A1,A2,A,P,P1,G60,A160,A260,A60,P60,P160,iCF,iCF60,iCSh%,iFF,iFF60,iFSh%,iSF,iSF60,iSh%,ixG,ixG60,ixFSh%,iSCF,iSCF60,iHF,iHA,iGVA,iTKA,iBLK,iFOW,iFOL,iFO%,iPENT,iPEND,iPENDIFF,iRB,iRS,Avg.DIST
ANDREW.DESJARDINS,20132014,3,5,9,14,17,8,0.23,0.39,0.7,1.09,1.32,0.62,146,11.34,2.05,111,8.62,2.7,85,6.6,3.53,7.02,0.55,6.32,24,1.86,101,102,25,34,33,337,274,55.16,9,16,7,6,9,31.82
ANDREW.DESJARDINS,20142015,5,0,5,5,10,5,0.47,0,0.47,0.47,0.93,0.47,90,8.4,5.56,61,5.7,8.2,51,4.76,9.8,4.16,0.39,6.82,14,1.31,128,88,17,7,27,127,130,49.42,12,6,-6,2,5,25.89
ANDREW.DESJARDINS,20152016,6,4,1,5,11,10,0.42,0.28,0.07,0.35,0.78,0.71,165,11.64,3.64,118,8.32,5.08,89,6.28,6.74,9.03,0.64,7.65,33,2.33,97,130,12,19,30,33,30,52.38,8,10,2,10,6,27.49
ANDREW.EBBETT,20112012,2,0,1,1,3,2,0.83,0,0.42,0.42,1.25,0.83,31,12.92,6.45,29,12.09,6.9,22,9.17,9.09,2.35,0.98,8.11,9,3.75,15,17,3,3,8,9,5,64.29,3,1,-2,3,0,27.75
ANDREW.EBBETT,20122013,1.708333333,6.833333333,1.708333333,8.541666667,10.25,8.541666667,0.2,0.81,0.2,1.01,1.21,1.01,0,0,0,51.25,6.07,3.33,35.875,4.25,4.76,3.860833333,0.46,7.52,10.25,1.21,29.04166667,44.41666667,13.66666667,11.95833333,20.5,143.5,234.0416667,38.01,1.708333333,3.416666667,1.708333333,1.708333333,6.833333333,30.33
ANDREW.EBBETT,20132014,0,1,0,1,1,1,0,0.67,0,0.67,0.67,0.67,16,10.77,0,12,8.08,0,8,5.38,0,0.53,0.35,4.38,2,1.35,10,13,2,2,6,15,20,42.86,0,1,1,0,0,36.74
ANDREW.EBBETT,20142015,1,3,2,5,6,4,0.32,0.97,0.65,1.62,1.94,1.3,34,11.02,2.94,23,7.45,4.35,18,5.83,5.56,1.02,0.33,4.42,2,0.65,9,36,2,6,9,30,46,39.47,0,0,0,0,0,28.31
ANDREW.FERENCE,20112012,4,6,9,15,19,10,0.22,0.33,0.49,0.81,1.03,0.54,191,10.37,2.09,128,6.95,3.12,83,4.51,4.82,2.7,0.15,2.11,1,0.05,57,113,34,5,68,0,0,0,6,8,2,2,5,52.54
ANDREW.FERENCE,20122013,5.125,6.833333333,5.125,11.95833333,17.08333333,11.95833333,0.23,0.31,0.23,0.54,0.78,0.54,240.875,10.93,2.13,150.3333333,6.82,3.41,93.95833333,4.26,5.45,4.56125,0.21,3.03,5.125,0.23,123,164,47.83333333,6.833333333,82,0,0,0,20.5,6.833333333,-13.66666667,5.125,6.833333333,48.24
ANDREW.FERENCE,20132014,2,3,8,11,13,5,0.1,0.15,0.41,0.56,0.66,0.25,129,6.55,1.55,87,4.41,2.3,67,3.4,2.99,2.33,0.12,2.68,3,0.15,116,126,44,9,83,2,1,66.67,14,9,-5,2,3,52.37
ANDREW.FERENCE,20142015,3,0,10,10,13,3,0.16,0,0.53,0.53,0.69,0.16,155,8.18,1.94,100,5.28,3,55,2.9,5.45,2.28,0.12,2.28,3,0.16,131,109,30,8,76,0,2,0,13,5,-8,3,4,53.27
ANDREW.FERENCE,20152016,0,0,0,0,0,0,0,0,0,0,0,0,10,8.71,0,5,4.36,0,3,2.61,0,0.12,0.11,2.42,0,0,9,7,2,0,4,0,0,0,3,0,-3,1,0,53.88
ANDREW.GORDON,20112012,2,2,1,3,5,4,0.38,0.38,0.19,0.57,0.96,0.77,68,13.01,2.94,54,10.33,3.7,36,6.89,5.56,3.07,0.59,5.69,8,1.53,45,34,7,2,3,0,1,0,1,4,3,1,2,27.06
ANDREW.GORDON,20122013,0,0,0,0,0,0,0,0,0,0,0,0,8.541666667,5.99,0,5.125,3.59,0,3.416666667,2.4,0,0.341666667,0.24,6.64,0,0,6.833333333,10.25,3.416666667,1.708333333,1.708333333,3.416666667,3.416666667,50,0,1.708333333,1.708333333,1.708333333,0,0
ANDREW.LADD,20112012,22,8,5,13,35,30,1.13,0.41,0.26,0.67,1.79,1.54,340,17.43,6.47,272,13.94,8.09,210,10.77,10.48,21.45,1.1,7.89,82,4.2,63,110,28,28,19,21,21,50,19,14,-5,18,19,29.24
